Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;AM/2603876;16/02/2026;16:27;GA7GUTIL;;JUNTA UTIL POLIESTER PARA TAPÓN 1' TEFLÓN RADIADOR;JOSE ANTONIO PÉREZ MELENDO;;;100,000;100,00;0,1700;54,00;7,82;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;PWT100D;;DEPÓSITO DE INERCIA Y ACUMULACIÓN ACS INOX 90ºC 100LTS FERCO;FUENTE TÓJAR;;;1,000;1,00;528,0000;38,00;327,36;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;MULPPT3230004;;BARRA 4M MULTICAPA PERT 32X3.0;FUENTE TÓJAR;;;4,000;4,00;20,5500;54,00;37,81;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;MULPPT2020004;;BARRRA 4M MULTICAPA PERT 20X2;FUENTE TÓJAR;;;2,000;2,00;9,2000;54,00;8,46;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;19032005508/1;;KFLEX ST 19X032 NEGRA;FUENTE TÓJAR;;;16,000;16,00;5,8900;64,00;33,93;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;9093;;BOMBA CALEFACCION HEF 25/60-130 II 230V CLASE A;FUENTE TÓJAR;;;1,000;1,00;199,8000;54,00;91,91;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;MULPTHKRC321;;ENLACE ROSCA MACHO 32X1 MULTICAPA;FUENTE TÓJAR;;;10,000;10,00;14,9100;77,00;34,29;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;MULPTHKRM321;;RACOR MÓVIL 32X1 MULTICAPA BLANSOL;FUENTE TÓJAR;;;10,000;10,00;15,6000;77,00;35,88;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;3038 06;;VALVULA ESFERA MINI MH 1' GENEBRE;FUENTE TÓJAR;;;6,000;6,00;14,0500;54,00;38,78;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;153603;;VALVULA ESFERA C. BOLA 1/2 M-H MARIPOSA NILE VA25;FUENTE TÓJAR;;;4,000;4,00;7,7000;54,00;14,17;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;MULPTHVABVI2X;;VALVULA CORTE VISTA 20 MULTICAPA BLANSOL;FUENTE TÓJAR;;;2,000;2,00;27,8200;77,00;12,80;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;763604;;VALVULA ESFERA C. BOLA 3/4 M-H MARIPOSA NILE VA25 ROJA;FUENTE TÓJAR;;;4,000;4,00;7,7000;54,00;14,17;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;MULPTHKC32;;CODO 32 MULTICAPA BLANSOL;FUENTE TÓJAR;;;15,000;15,00;22,2300;77,00;76,69;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;MULPTHK322X2;;TE REDUCIDA 32X20X32 MULTICAPA;FUENTE TÓJAR;;;3,000;3,00;29,5400;77,00;20,38;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;MULPTHKSH3234;;TE SALIDA ROSCA HEMBRA 32X3/4 MULTICAPA;FUENTE TÓJAR;;;8,000;8,00;24,7200;77,00;45,48;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;...;...;...;FUENTE TÓJAR;;;4,000;4,00;6,1800;75,00;6,18;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;MULPTHKRC2X12;;ENLACE ROSCA MACHO 20X1/2 MULTICAPA;FUENTE TÓJAR;;;4,000;4,00;6,2400;77,00;5,74;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;MULPTHKRC2X34;;ENLACE ROSCA MACHO 20X3/4 MULTICAPA;FUENTE TÓJAR;;;1,000;1,00;7,6600;77,00;1,76;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;MULPTHKRM2X34;;RACOR MOVIL 20X3/4 MULTICAPA;FUENTE TÓJAR;;;4,000;4,00;8,8500;77,00;8,14;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;3545E;;CODO LATÓN M-H 1';FUENTE TÓJAR;;;4,000;4,00;5,7500;54,00;10,58;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;3031;;MACHON RED 1 1/4 - 1 LATON;FUENTE TÓJAR;;;4,000;4,00;5,7500;54,00;10,58;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;...;...;...;FUENTE TÓJAR;;;5,000;5,00;3,3000;54,00;7,59;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;3005;;MACHÓN DOBLE 3/4 LATÓN;FUENTE TÓJAR;;;10,000;10,00;2,1000;54,00;9,66;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;...;...;...;FUENTE TÓJAR;;;1,000;1,00;50,5000;54,00;23,23;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;3225E;;RED C/HEX 3/4-1/2 LATÓN;FUENTE TÓJAR;;;6,000;6,00;1,2500;54,00;3,45;21,00
No;Almacén 16;AM/260493;17/02/2026;16:38;3045;;ALARG HEX 1/2 X 2 CM LATON;FUENTE TÓJAR;;;10,000;10,00;1,5000;54,00;6,90;21,00
No;Almacén 16;...;17/02/2026;17:03;2055959;;HILO TEFLÓN TANGIT UNILOCK;FUENTE TÓJAR;;;1,000;1,00;22,3500;54,00;10,28;21,00
No;Almacén 16;AM/2604098;17/02/2026;17:03;DM25VNN;;DESFANGADOR MAGNÉTICO PLASTICO CON VÁLVULAS FERCO;FUENTE TÓJAR;;;1,000;1,00;76,0000;40,00;45,60;21,00
No;Almacén 16;...;18/02/2026;16:36;...;...;...;PABLO MARTÍNEZ (CASAS DE JUAN LEÓN);;;2,000;2,00;25,3500;38,00;31,43;21,00
No;Almacén 16;AM/2604149;18/02/2026;16:36;...;...;...;PABLO MARTÍNEZ (CASAS DE JUAN LEÓN);;;4,000;4,00;4,4500;38,00;11,04;21,00
No;Almacén 16;...;18/02/2026;16:30;R179MX020;;ADAPTADOR R1790 16X20X2 GIACOMINI;PABLO MARTÍNEZ (CASAS JUAN LEÓN);;;2,000;2,00;4,4500;38,00;5,52;21,00
No;Almacén 16;AM/2604178;18/02/2026;16:30;R437NX041;;VÁLVULA MONOTUBO R437N 1/2'X16 CON SONDA TERMOSTATIZABLE GIACOMINI;PABLO MARTÍNEZ (CASAS DE JUAN LEÓN);;;1,000;1,00;25,3500;38,00;15,72;21,00
No;Almacén 16;...;19/02/2026;17:08;...;...;...;ANASTASIO (FUENTE TÓJAR);;;1,000;1,00;26,7000;54,00;12,28;21,00
No;Almacén 16;AM/2604363;19/02/2026;17:08;...;...;...;ANASTASIO (FUENTE TÓJAR);;;1,000;1,00;8,4300;42,00;4,89;21,00
No;Almacén 16;AM/2604363;19/02/2026;17:08;...;...;...;ANASTASIO (FUENTE TÓJAR);;;1,000;1,00;3,9000;54,00;1,79;21,00
No;Almacén 16;AM/2604363;19/02/2026;17:08;...;...;...;ANASTASIO (FUENTE TÓJAR);;;4,000;4,00;1,5000;54,00;2,76;21,00
No;Almacén 16;AM/2604363;19/02/2026;17:08;...;...;...;ANASTASIO (FUENTE TÓJAR);;;2,000;2,00;1,1500;54,00;1,06;21,00
No;Almacén 16;...;20/02/2026;17:01;...;...;...;ANASTASIO (FUENTE TÓJAR);;;12,000;12,00;20,7500;54,00;114,54;21,00
No;Almacén 16;AM/2604371;20/02/2026;17:01;45020;;KIT ENLACE ROSCA MACHO 20 1/2 PE LT;ANASTASIO (FUENTE TÓJAR);;;1,000;1,00;3,8000;54,00;1,75;21,00
No;Almacén 16;AM/2604371;20/02/2026;17:01;...;...;...;ANASTASIO (FUENTE TÓJAR);;;2,000;2,00;2,5000;54,00;2,30;21,00
No;Almacén 16;...;23/02/2026;9:11;...;...;...;ANASTASIO;;;15,000;15,00;2,1600;50,00;16,20;21,00
No;Almacén 16;AM/2604660;23/02/2026;9:11;3004E;;MACHON DOBLE 1/2 LATON;ANASTASIO;;;25,000;25,00;1,4000;54,00;16,10;21,00
No;Almacén 16;AM/2604660;23/02/2026;9:11;...;...;...;ANASTASIO;;;0,750;0,75;13,0000;54,00;4,49;21,00
No;Almacén 16;AM/2604660;23/02/2026;9:11;...;...;...;ANASTASIO;;;1,000;1,00;12,7000;54,00;5,84;21,00
No;Almacén 16;;27/02/2026;16:21;...;...;...;ROLLO 100 M MULTICAPA 20X2.0 BLANSOL;;;1,000;1,00;161,0000;54,00;74,06;21,00
