Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;NMENG/OUT/27610;30/10/2025;9:09;8704;;CAJA P/DIST. HASTA 18 ELEM. SUP;CAJA P/DIST. HASTA 18 ELEM. SUP;;;6,000;6,00;16,1813;0,00;97,09;21,00
No;Almacén 16;NMENG/OUT/27610;30/10/2025;9:09;CDN18PT;;CAJA ESTANCA DISTRIBUCIÓN ABS 18 MOD PTA TRANSPARENTE;CAJA ESTANCA DISTRIBUCIÓN ABS 18 MOD PTA TRANSPARENTE;;;0,000;0,00;37,3600;0,00;0,00;21,00
No;Almacén 16;NMENG/OUT/27610;30/10/2025;9:09;233.2500.0;;MANGUITO CORRUGADO M-25;MANGUITO CORRUGADO M-25;;;0,000;0,00;1,3425;0,00;0,00;21,00
No;Almacén 16;S74860;30/10/2025;10:47;H07Z1-K10MR-1;;CABLE LIBRE HALOGENOS 10MM MR;ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;NEMG/OUT/27633;30/10/2025;10:48;H07Z1- K10AZ;;CABLE LIBRE HALOGENOS 10MM AZ;ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;NEMG/OUT/27633;30/10/2025;10:48;H0721-K10AV;;CABLE LIBRE HALOGENOS 10MM AV;ALMACÉN;;;90,000;90,00;1,2710;0,00;114,39;21,00
No;Almacén 16;NEMG/OUT/27633;30/10/2025;10:48;HO7Z1-K10GR;;CABLE 10MM LIBRE HALÓGENOS H07Z1-K10 (GRIS);ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;NEMG/OUT/27633;30/10/2025;10:48;H07Z1-K10MR-1;;CABLE LIBRE HALOGENOS 10MM MR;ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;NMENG/OUT/27875;13/11/2025;17:12;CDN8PT;;CAJA DISTRIBUCIÓN ESTANCA IP65 1X8 MOD P/TRANSP. NEW ECOLOGY;CAJA DISTRIBUCIÓN ESTANCA IP65 1X8 MOD P/TRANSP. NEW ECOLOGY;;;3,000;3,00;37,3600;0,00;112,08;21,00
No;Almacén 16;S75624;10/11/2025;17:29;EPRE2A040030;;DIFERENCIAL ALPHA+ RESIDENCIAL 2P 40A 30MA CLASE A SUPERINMUNIZADO 6KA;ALMACÉN;;;15,000;15,00;22,0000;0,00;330,00;21,00
No;Almacén 16;NMNEG/OUT/27290;11/11/2025;17:04;PVBM05;;CONECTOR SOLAR MC4 1000V AEREO PARA M/H;CONECTOR SOLAR MC4 1000V AEREO PARA M/H;;;10,000;10,00;1,2124;0,00;12,12;21,00
No;Almacén 16;NMENG/RET/03732;11/11/2025;17:02;EPR2CE040030;;DIFERENCIAL ALPHA+RESID. 2P 40A 30mA CL.AC 6KA;ALMACÉN;;;-15,000;-15,00;9,9800;0,00;-149,70;21,00
No;Almacén 16;NMENG/OUT/28001;14/11/2025;17:12;H07Z1-K16AZ;;CABLE L. HALOGENOS H07Z1-K 16 MM AZUL;CABLE L. HALOGENOS H07Z1-K 16 MM AZUL;;;100,000;100,00;1,8400;0,00;184,00;21,00
No;Almacén 16;NMENG/OUT/28001;14/11/2025;17:12;...;...;...;ALMACÉN;;;100,000;100,00;1,8400;0,00;184,00;21,00
No;Almacén 16;NMENG/OUT/28001;14/11/2025;17:12;...;...;...;CABLE L. HALOGENOS H07Z1-K 16 MM GRIS;;;100,000;100,00;1,8400;0,00;184,00;21,00
No;Almacén 16;NMENG/OUT/28001;14/11/2025;17:12;...;...;...;ALMACÉN;;;100,000;100,00;1,8400;0,00;184,00;21,00
No;Almacén 16;NMENG/OUT/28001;14/11/2025;17:12;...;...;...;ALMACÉN;;;40,000;40,00;17,4000;0,00;696,00;21,00
No;Almacén 16;...;13/11/2025;17:14;...;...;...;ALMACÉN;;;1,000;1,00;31,0000;0,00;31,00;21,00
No;Almacén 16;NMENG/OUT/28002;13/11/2025;17:14;...;...;...;ALMACÉN;;;4,000;4,00;21,4000;0,00;85,60;21,00
No;Almacén 16;NMENG/OUT/28002;13/11/2025;17:14;BGE25;;TUBO RÍGIDO PVC GRIS M25;ALMACÉN;;;171,000;171,00;2,9500;70,00;151,34;21,00
No;Almacén 16;NMENG/OUT/28002;13/11/2025;17:14;...;...;...;ALMACÉN;;;40,000;40,00;1,7629;0,00;70,52;21,00
No;Almacén 16;NMENG/OUT/28002;13/11/2025;17:14;...;...;...;CAJA ESTANCA 160 X 110 MM;;;15,000;15,00;2,4289;0,00;36,43;21,00
No;Almacén 16;NMENG/OUT/28002;13/11/2025;17:14;...;...;...;ALMACÉN;;;2,000;2,00;43,0000;0,00;86,00;21,00
No;Almacén 16;NMENG/OUT/28002;13/11/2025;17:14;...;...;...;ALMACÉN;;;1,000;1,00;56,0000;0,00;56,00;21,00
No;Almacén 16;NMENG/OUT/28002;13/11/2025;17:14;...;...;...;ALMACÉN;;;1,000;1,00;65,9680;0,00;65,97;21,00
No;Almacén 16;NMENG/OUT/28002;13/11/2025;17:14;EPB63M4C63;;MAGNETOT.ALPHA+INDUST.4P 63A CV.C 6KA;ALMACÉN;;;1,000;1,00;0,0000;0,00;0,00;21,00
No;Almacén 16;NMENG/OUT/28002;13/11/2025;17:14;...;...;...;ALMACÉN;;;1,000;1,00;0,0000;0,00;0,00;21,00
No;Almacén 16;...;14/11/2025;16:58;EPB63M4C63;;MAGNETOT.ALPHA+INDUST.4P 63A CV.C 6KA;MAGNETOT.ALPHA+INDUST.4P 63A CV.C 6KA;;;1,000;1,00;31,0000;0,00;31,00;21,00
No;Almacén 16;NMENG/OUT/28003;14/11/2025;16:58;EPR4A080300;;DIFERENCIAL ALPHA+INDUSTRIAL 4P 80A 300MA CLASE A SUPERINMUNIZADO 10KA;DIFERENCIAL ALPHA+INDUSTRIAL 4P 80A 300MA CLASE A SUPERINMUNIZADO 10KA;;;1,000;1,00;111,0000;0,00;111,00;21,00
