Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;S73723;16/10/2025;17:03;EPR4A040030;;DIFERENCIAL ALPHA + INDUSTRIAL 4P 40A 30Ma CLASE A SUPERINMUNIZADO;ALMACÉN;;;10,000;10,00;41,0000;0,00;410,00;21,00
No;Almacén 16;S73723;16/10/2025;17:03;EPB63M4C16;;MAGNETOT ALPHA+INDUS. 4P 16A CV 6KA;ALMACÉN;;;3,000;3,00;17,0000;0,00;51,00;21,00
No;Almacén 16;S73723;16/10/2025;17:03;EPB63M4C20;;MAGNETOTÉRMICO ALPHA + INDUST 4P 20A CV.C 6KA;ALMACÉN;;;5,000;5,00;17,0000;0,00;85,00;21,00
No;Almacén 16;S73723;16/10/2025;17:03;EPB63M4C25;;MAGNETOT. ALPHA+INDUST. 4P 25A CV.C 6kA;ALMACÉN;;;1,000;1,00;17,0000;0,00;17,00;21,00
No;Almacén 16;S73723;16/10/2025;17:03;U140C4/400;;PROTECTOR SOBRETENSIÓN TRANSITORIA 3SUI 4P C 15-40KA 400V;ALMACÉN;;;1,000;1,00;40,6000;0,00;40,60;21,00
No;Almacén 16;S73723;16/10/2025;17:03;EPBE63M1NC20;;MAGNETOTÉRMICO ALPHA+RESID. 1P+N 20A CV.C 6KA;ALMACÉN;;;12,000;12,00;2,2000;0,00;26,40;21,00
No;Almacén 16;S73723;16/10/2025;17:03;EPBE63M1NC20;;MAGNETOTÉRMICO ALPHA+RESID. 1P+N 20A CV.C 6KA;ALMACÉN;;;6,000;6,00;2,2000;0,00;13,20;21,00
No;Almacén 16;S73723;16/10/2025;17:03;EPBE63M1NC32;;MAGNETOT. ALPHA+RESID. 1P+N 32A CV.C 6KA;ALMACÉN;;;6,000;6,00;2,2000;0,00;13,20;21,00
No;Almacén 16;S73723;16/10/2025;17:03;H07Z1- K10AZ;;CABLE LIBRE HALOGENOS 10MM AZ;ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;S73723;16/10/2025;17:03;H0721-K10AV;;CABLE LIBRE HALOGENOS 10MM AV;ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;S73723;16/10/2025;17:03;13030 CBR;;CANALETA  60X40 S.13 BL;ALMACÉN;;;32,000;32,00;7,9500;50,00;127,20;21,00
No;Almacén 16;S73723;16/10/2025;17:03;EPS1C2-275-40;;LIMITADOR SOBRETENSIONES TIPO 2 EPSC2-275-40;ALMACÉN;;;1,000;1,00;21,7711;0,00;21,77;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;EPR4A040030;;DIFERENCIAL ALPHA + INDUSTRIAL 4P 40A 30Ma CLASE A SUPERINMUNIZADO;ALMACÉN;;;5,000;5,00;41,0000;0,00;205,00;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;EPB63M4C16;;MAGNETOT ALPHA+INDUS. 4P 16A CV 6KA;ALMACÉN;;;5,000;5,00;17,0000;0,00;85,00;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;EPB63M4C20;;MAGNETOTÉRMICO ALPHA + INDUST 4P 20A CV.C 6KA;ALMACÉN;;;5,000;5,00;17,0000;0,00;85,00;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;EPB63M4C25;;MAGNETOT. ALPHA+INDUST. 4P 25A CV.C 6kA;ALMACÉN;;;9,000;9,00;17,0000;0,00;153,00;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;U140C4/400;;PROTECTOR SOBRETENSIÓN TRANSITORIA 3SUI 4P C 15-40KA 400V;ALMACÉN;;;14,000;14,00;40,6000;0,00;568,40;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;EPBE63M1NC25;;MAGNETOT. ALPHA+RESID. 1P+N 25A CV.C 6KA;ALMACÉN;;;18,000;18,00;2,2000;0,00;39,60;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;EPBE63M1NC32;;MAGNETOT. ALPHA+RESID. 1P+N 32A CV.C 6KA;ALMACÉN;;;18,000;18,00;2,2000;0,00;39,60;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;H0721-K10AV;;CABLE LIBRE HALOGENOS 10MM AV;ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;...;...;...;ALMACÉN;;;36,000;36,00;6,2600;40,00;135,22;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;...;...;...;ALMACÉN;;;200,000;200,00;0,7100;0,00;142,00;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;...;...;...;ALMACÉN;;;200,000;200,00;0,7100;0,00;142,00;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;...;...;...;ALMACÉN;;;400,000;400,00;0,7100;0,00;284,00;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;...;...;...;ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;...;...;...;ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;...;...;...;ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;...;...;...;ALMACÉN;;;56,000;56,00;0,7100;0,00;39,76;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;H07Z1- K6MR;;CABLE LIBRE HALOGENOS 6MM MR;ALMACÉN;;;144,000;144,00;0,7100;0,00;102,24;21,00
No;Almacén 16;NMENG/OUT/27238;17/10/2025;16:51;...;...;...;ALMACÉN;;;200,000;200,00;0,7100;0,00;142,00;21,00
No;Almacén 16;...;17/10/2025;17:10;...;...;...;CONECTOR SOLAR MC4 1000V AEREO PARA M/H;;;100,000;100,00;1,2124;0,00;121,24;21,00
No;Almacén 16;...;20/10/2025;17:12;...;...;...;ALMACÉN;;;14,000;14,00;19,0000;0,00;266,00;21,00
No;Almacén 16;...;17/10/2025;11:17;...;...;...;ALMACÉN;;;40,000;40,00;1,5820;0,00;63,28;21,00
No;Almacén 16;S73806;17/10/2025;11:17;...;...;...;ALMACÉN;;;20,000;20,00;3,3320;0,00;66,64;21,00
No;Almacén 16;S73806;17/10/2025;11:17;...;...;...;ALMACÉN;;;24,000;24,00;8,2300;70,00;59,26;21,00
No;Almacén 16;...;20/10/2025;17:07;...;...;...;RACOR A CAJA M25X1.5 PARA TUBO ENCHUFABLE ACERO GALVANIZADO;;;40,000;40,00;3,1360;0,00;125,44;21,00
No;Almacén 16;...;21/10/2025;11:12;...;...;...;SEÑAL PLAST. AE5ADH RIESGO ELECT. 52MM;;;25,000;25,00;0,5697;0,00;14,24;21,00
