Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;S/76297;18/11/2025;13:41;EPBE63M1NC32;;MAGNETOT. ALPHA+RESID. 1P+N 32A CV.C 6KA;ALMACÉN;;;12,000;12,00;2,2000;0,00;26,40;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;10009S2;;PROTECTOR SOBRETENSIONES TRANS. 600VDC 20KA 2P;ALMACÉN;;;15,000;15,00;21,7000;0,00;325,50;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;U130C1N/275;;PROT. SOBRETENSIONES TRANS. TIPOII, 3SU1 1P+N C 15-30KA 275 VAC;ALMACÉN;;;10,000;10,00;19,0000;0,00;190,00;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;EPS1C2-275-40;;LIMITADOR SOBRETENSIONES TIPO 2 EPSC2-275-40;ALMACÉN;;;2,000;2,00;19,0000;0,00;38,00;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;CDN8PT;;CAJA DISTRIBUCIÓN ESTANCA IP65 1X8 MOD P/TRANSP. NEW ECOLOGY;ALMACÉN;;;5,000;5,00;16,4600;0,00;82,30;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;5109;;CAJA DIST. SUP. HASTA 8 ELEM. 247X250X104;ALMACÉN;;;16,000;16,00;12,6013;0,00;201,62;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;8704;;CAJA P/DIST. HASTA 18 ELEM. SUP;ALMACÉN;;;18,000;18,00;16,1833;0,00;291,30;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;H07Z1/K6AZ;;CABLE LIBRE HALÓGENOS 6MM AZ;ALMACÉN;;;200,000;200,00;0,7100;0,00;142,00;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;H07Z1 - K6AV;;CABLE LIBRE HALOGENOS 6MM AV AMARILLO VERDE;ALMACÉN;;;200,000;200,00;0,7100;0,00;142,00;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;H07Z1-K10AV;;CABLE L. HALÓGENOS H07Z1-K 10MM AMARILLO-VERDE;ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;H07Z1- K10AZ;;CABLE LIBRE HALOGENOS 10MM AZ;ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;H07Z1-K10MR-1;;CABLE LIBRE HALOGENOS 10MM MR;ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;H0721-K10NG;;CABLE LIBRE HALOGENOS 10MM NG;ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;HO7Z1-K10GR;;CABLE 10MM LIBRE HALÓGENOS H07Z1-K10 (GRIS);ALMACÉN;;;100,000;100,00;1,2710;0,00;127,10;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;H07Z1 - K6NG;;CABLE LIBRE HALOGENOS 6MN NG;ALMACÉN;;;200,000;200,00;0,7100;0,00;142,00;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;H07Z1- K6MR;;CABLE LIBRE HALOGENOS 6MM MR;ALMACÉN;;;200,000;200,00;0,7100;0,00;142,00;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;H07Z1- K6GR;;CABLE LIBRE HALOGENOS 6MM GR;ALMACÉN;;;200,000;200,00;0,7100;0,00;142,00;21,00
No;Almacén 16;S/76297;18/11/2025;13:41;EPRE2A040030;;DIFERENCIAL ALPHA+ RESIDENCIAL 2P 40A 30MA CLASE A SUPERINMUNIZADO 6KA;DIFERENCIAL ALPHA+ RESIDENCIAL 2P 40A 30MA CLASE A SUPERINMUNIZADO 6KA;;;15,000;15,00;17,0000;0,00;255,00;21,00
No;Almacén 16;...;21/11/2025;8:38;...;...;...;ACADEMIA BAEZA;;;100,000;100,00;1,0070;0,00;100,70;21,00
No;Almacén 16;...;25/11/2025;11:14;...;...;...;GUARDIA CIVIL;;;200,000;200,00;1,9200;0,00;384,00;21,00
No;Almacén 16;...;24/11/2025;8:42;...;...;...;MÁQUINA GREE ACADEMIA BAEZA;;;22,000;22,00;1,9200;0,00;42,24;21,00
No;Almacén 16;...;28/11/2025;17:21;H07Z1 - K6AV;;CABLE LIBRE HALOGENOS 6MM AV AMARILLO VERDE;ALMACÉN;;;300,000;300,00;0,7100;0,00;213,00;21,00
No;Almacén 16;S77133;28/11/2025;17:21;H07Z1/K6AZ;;CABLE LIBRE HALÓGENOS 6MM AZ;ALMACÉN;;;300,000;300,00;0,7100;0,00;213,00;21,00
No;Almacén 16;S77133;28/11/2025;17:21;H07Z1- K6GR;;CABLE LIBRE HALOGENOS 6MM GR;ALMACÉN;;;300,000;300,00;0,7100;0,00;213,00;21,00
No;Almacén 16;S77133;28/11/2025;17:21;H07Z1- K6MR;;CABLE LIBRE HALOGENOS 6MM MR;ALMACÉN;;;300,000;300,00;0,7100;0,00;213,00;21,00
No;Almacén 16;S77133;28/11/2025;17:21;H07Z1 - K6NG;;CABLE LIBRE HALOGENOS 6MN NG;ALMACÉN;;;300,000;300,00;0,7100;0,00;213,00;21,00
No;Almacén 16;S77133;28/11/2025;17:21;...;...;...;ALMACÉN;;;6,000;6,00;22,0000;0,00;132,00;21,00
No;Almacén 16;S77133;28/11/2025;17:21;...;...;...;ALMACÉN;;;4,000;4,00;33,9115;0,00;135,65;21,00
No;Almacén 16;S77133;28/11/2025;17:21;BGE25;;TUBO RÍGIDO PVC GRIS M25;ALMACÉN;;;171,000;171,00;2,9500;70,00;151,34;21,00
No;Almacén 16;S77133;28/11/2025;17:21;...;...;...;ALMACÉN;;;150,000;150,00;1,3425;0,00;201,38;21,00
No;Almacén 16;S77133;28/11/2025;17:21;...;...;...;ALMACÉN;;;9,000;9,00;21,7000;0,00;195,30;21,00
No;Almacén 16;...;01/12/2025;17:13;EPR2A063030/10KA;;DIFERENCIAL ALPHA+INDUSTRIAL 2P 63A 30MA CLASE A SUPERINMUNIZADO 10KA;DIFERENCIAL ALPHA+INDUSTRIAL 2P 63A 30MA CLASE A SUPERINMUNIZADO 10KA;;;2,000;2,00;33,9115;0,00;67,82;21,00
No;Almacén 16;;30/11/2025;14:02;1000PS2;;PROTECTOR SOBRETENSIONES TRANS. 600VDC 20KA 2P;PROTECTOR SOBRETENSIONES TRANS. 600VDC 20KA 2P;;;25,000;25,00;21,7000;0,00;542,50;21,00
