Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;8105620995;12/02/2026;16:04;04118/30/900;;ARANDELA PARA CARROCERÍA, TOLERANCIA DIN 522-A GALV.8.4X30X1.5;ALMACÉN;;;400,000;400,00;0,0425;0,00;17,00;21,00
No;Almacén 16;8105620995;12/02/2026;16:04;01865/50/900;;TORNILLO PARA AGLOMERADO AVELLANADA FT, Z 2.50X50;ALMACÉN;;;200,000;200,00;0,0390;0,00;7,80;21,00
No;Almacén 16;8105620995;12/02/2026;16:04;090691062/900;;ANCLAJE MULTIUSO RECA 10X61 BLANCO RECA- HANDWERK;ALMACÉN;;;300,000;300,00;0,0995;0,00;29,85;21,00
No;Almacén 16;8105620994;12/02/2026;16:08;08985111;;UNIÓN Y SELLADO BLANCO;ALMACÉN;;;12,000;12,00;4,6400;0,00;55,68;21,00
No;Almacén 16;8105651520;23/02/2026;18:38;0687440009;;GUANTE PU BLACK PRO T.9;ALMACÉN;;;24,000;24,00;1,2900;0,00;30,96;21,00
No;Almacén 16;8105651520;23/02/2026;18:38;0985600990;;PVC CINT. AISL. MAR 19X25;ALMACÉN;;;10,000;10,00;1,7500;0,00;17,50;21,00
No;Almacén 16;8105651520;23/02/2026;18:38;0194008070;;TORN. HEX. DIN 571 TODO ROSCA CINC 8X70;ALMACÉN;;;200,000;200,00;0,0945;0,00;18,90;21,00
No;Almacén 16;8105651522;23/02/2026;18:32;09740825;;CASQUILLOS ESPACIADORES, REDONDOS, GALVANIZADOS, M8 X 25;ALMACÉN;;;200,000;200,00;0,1100;0,00;22,00;21,00
No;Almacén 16;8105651522;23/02/2026;18:32;0502345280  900;;BRIDAS PA 6.6 NEGRAS RESIS.V 4.5X280MM;ALMACÉN;;;1.000,000;1.000,00;0,0469;0,00;46,90;21,00
No;Almacén 16;8105651522;23/02/2026;18:32;023298/80;;TORNILLO ESPÁRRAGO 4.8 GALVAN TX25 8X80;ALMACÉN;;;300,000;300,00;0,0960;0,00;28,80;21,00
No;Almacén 16;8105651522;23/02/2026;18:32;090691062/900;;ANCLAJE MULTIUSO RECA 10X61 BLANCO RECA- HANDWERK;ALMACÉN;;;300,000;300,00;0,0995;0,00;29,85;21,00
No;Almacén 16;8105674324;27/02/2026;17:38;0912513085/990;;TAMIZ NYLON 16X85;ALMACÉN;;;150,000;150,00;2,0952;58,00;132,00;21,00
No;Almacén 16;;28/02/2026;15:41;0502345280  900;;BRIDAS PA 6.6 NEGRAS RESIS.V 4.5X280MM;BRIDAS PA 6.6 NEGRAS RESIS.V 4.5X280MM;;;1.500,000;1.500,00;0,0469;0,00;70,35;21,00
No;Almacén 16;;28/02/2026;15:41;0912300121;;MORTERO DE INYECCIÓN BLACK-SF 300ML;ALMACÉN;;;60,000;60,00;6,6200;0,00;397,20;21,00
No;Almacén 16;;28/02/2026;15:41;0972010107;;FLEJE ACERO PERFORADO 17X0;ALMACÉN;;;4,000;4,00;6,5500;0,00;26,20;21,00
No;Almacén 16;;28/02/2026;15:41;...;...;...;ALMACÉN;;;1,000;1,00;11,8700;0,00;11,87;21,00
