Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;AM/2532190;12/12/2025;12:50;03254;;AMNGUITO ANTIELECTOLSIS MH 1/2;COLEGIO MENGÍBAR;;;4,000;4,00;2,8500;54,00;5,24;21,00
No;Almacén 16;AM/2532190;12/12/2025;12:50;3042C;;ALARG HEX 3/8 1 CM CROMO;FRANCISCO AVENIDA ANDALUCIA;;;4,000;4,00;1,0000;54,00;1,84;21,00
No;Almacén 16;AM/2532190;12/12/2025;12:50;R714X032;;DETENTOR ESCUADRA 3/8X3/8 GIACOMINI;FRANCISCO AVENIDA ANDALUCÍA;;;1,000;1,00;10,8500;38,00;6,73;21,00
No;Almacén 16;AM/2532580;16/12/2025;12:56;DMME25V;;DESFANGADOR MAGNÉTICO DE LATO FILTRO INOX 1';DESFANGADOR MAGNÉTICO DE LATO FILTRO INOX 1';;;1,000;1,00;89,0000;40,00;53,40;21,00
No;Almacén 16;AM/2532685;17/12/2025;12:58;1102000000;;JUNTA DE GOMA 2';JUNTA DE GOMA 2';;;4,000;4,00;0,4800;54,00;0,88;21,00
No;Almacén 16;AM/2533121;22/12/2025;12:22;COPM8CE;;COLECTOR PLASTICO 8 CIRCUITOS C/EUROCONOS 16X3/4;FRANCISCO PORCUNA;;;2,000;2,00;532,9100;50,00;532,91;21,00
No;Almacén 16;AM/2533121;22/12/2025;12:22;COPM5CE/5;;COLECTOR PLASTICO 5 CIRCUITOS C/EUROCONOS 16X3/4;FRANCISCO PORCUNA;;;1,000;1,00;389,1600;51,00;190,69;21,00
No;Almacén 16;AM/2533121;22/12/2025;12:22;SRADACCMP6090;;CAJA METALICA 565X700X90 (6 SALIDAS) PARA COLECTORES CON PIE;FRANCISCO PORCUNA;;;2,000;2,00;242,8800;75,00;121,44;21,00
No;Almacén 16;AM/2533121;22/12/2025;12:22;CAJA-4;;CAJAMETALICA PARA COLECTORES 400X630X110;FRANCISCO PORCUNA;;;1,000;1,00;140,0000;51,00;68,60;21,00
No;Almacén 16;AM/2533273;24/12/2025;13:10;FAPM 32/12;;BOMBA ALTA EFICIENCIA CALEF/CLIMA 2 SIN RACORES;JUAN CARLOS MORALES (VALORAR);;;1,000;1,00;184,0000;38,00;114,08;21,00
No;Almacén 16;AM/2533293;24/12/2025;13:00;MULPPT2525004;;BARRA 4M MULTICAPA PERT 25X2.5;FRANCISCO PORCUNA (ARJONA);;;5,000;5,00;12,5500;54,00;28,87;21,00
No;Almacén 16;AM/2533293;24/12/2025;13:00;MULPPT3230004;;BARRA 4M MULTICAPA PERT 32X3.0;FRANCISCO PORCUNA (ARJONA);;;10,000;10,00;20,5500;54,00;94,53;21,00
No;Almacén 16;AM/2533293;24/12/2025;13:00;19025005508;;KFLEX ST 19X025 NEGRA;FRANCISCO PORCUNA (ARJONA);;;10,000;10,00;4,5700;64,00;16,45;21,00
No;Almacén 16;AM/2533293;24/12/2025;13:00;19032005508/1;;KFLEX ST 19X032 NEGRA;FRANCISCO PORCUNA (ARJONA);;;36,000;36,00;5,8900;64,00;76,33;21,00
No;Almacén 16;AM/2533293;24/12/2025;13:00;MULPTHKRC251;;ENLACE ROSCA MACHO 25X1 MULTICAPA;FRANCISCO PORCUNA (ARJONA);;;6,000;6,00;12,2900;77,00;16,96;21,00
No;Almacén 16;AM/2533293;24/12/2025;13:00;MULPTHKC32;;CODO 32 MULTICAPA BLANSOL;FRANCISCO PORCUNA (ARJONA);;;10,000;10,00;20,5800;77,00;47,33;21,00
No;Almacén 16;AM/2533293;24/12/2025;13:00;MULPTHKT32252;;TE REDUCIDA 32X25X32 MULTICAPA BLANSOL;FRANCISCO PORCUNA (ARJONA);;;2,000;2,00;28,6100;77,00;13,16;21,00
No;Almacén 16;AM/2533293;24/12/2025;13:00;MULPTHKT32255;;TE REDUCIDA 32X25X25XMULTICAPA BLANSOL;FANCISCO PORCUNA (ARJONA);;;2,000;2,00;27,9300;77,00;12,85;21,00
No;Almacén 16;AM/2533293;24/12/2025;13:00;MULPTHKMU32;;MANGUITO UNIÓN 32 MULTICAPA;FRANCISCO PORCUNA (ARJONA);;;6,000;6,00;14,6000;77,00;20,15;21,00
No;Almacén 16;AM/2533409;29/12/2025;12:34;09025005508;;KFLEX EC 9X25 NEGRA;FRANCISCO PORCUNA;;;12,000;12,00;1,5500;64,00;6,70;21,00
No;Almacén 16;AM/2533409;29/12/2025;12:34;19025005508;;KFLEX ST 19X025 NEGRA;FRANCISCO PORCUNA;;;8,000;8,00;4,5700;64,00;13,16;21,00
No;Almacén 16;AM/2533411;29/12/2025;12:36;06593;;CASQUILLO REDUCTOR 32-20;ACADEMIA GUARDIA CIVIL;;;5,000;5,00;0,4000;54,00;0,92;21,00
No;Almacén 16;AM/2533411;29/12/2025;12:36;CR-01;;CASQUILLO REDUCTOR EVACUACION 4.-32;ACADEMIA GUARDIA CIVIL;;;1,000;1,00;0,5000;54,00;0,23;21,00
No;Almacén 16;AM/2533411;29/12/2025;12:36;DS-01;;DERIV SIMPLE 32-45*;ACADEMIA GUARDIA CIVIL;;;2,000;2,00;0,7000;54,00;0,64;21,00
No;Almacén 16;AM/2533411;29/12/2025;12:36;CMH-104;;CODO EVACUACIÓN 40-45 M-H;ACADEMIA GUARDIA CIVIL;;;2,000;2,00;0,5500;54,00;0,51;21,00
No;Almacén 16;AM/2533411;29/12/2025;12:36;CMH-106M-H;;CODO EVACUACION 40-87* M-H;ACADEMIA GUARDIA CIVIL;;;1,000;1,00;0,5500;54,00;0,25;21,00
No;Almacén 16;AM/2533411;29/12/2025;12:36;INA-11;;INJERTO CLIP EXTERI 90/40;ACADEMIA GUARDIA CIVIL;;;1,000;1,00;1,5000;54,00;0,69;21,00
No;Almacén 16;AM/2533536;30/12/2025;12:45;06593;;CASQUILLO REDUCTOR 32-20;ACADEMIA GUARDIA CIVIL BAEZA;;;5,000;5,00;0,4000;54,00;0,92;21,00
No;Almacén 16;AM/2533536;30/12/2025;12:45;06507;;CASQUILLO REDUCTOR 25-20;ACEDEMIA GUARDIA CIVIL BAEZA;;;5,000;5,00;0,4000;54,00;0,92;21,00
No;Almacén 16;AM/2533536;30/12/2025;12:45;10541013;;RECAMBIO 10 UDS HOJA NEGRA SK2 65HRC PARA CUTER 25X126X0.7 MM COFAN;ACADEMIA GUARDIA CIVIL BAEZA;;;1,000;1,00;6,6000;50,00;3,30;21,00
No;Almacén 16;AM/2533536;30/12/2025;12:45;10540033;;CUTER ANTIDESLIZANTE HEAVY DUTY 25 MM COFAN;ACADEMIA GUARDIA CIVIL BAEZA;;;1,000;1,00;6,4000;50,00;3,20;21,00
