Nº Factura/ Regis.;Nº Factura Proveedor;Fecha Fra.;Fecha Recep.;Hora;Proveedor;IRPF Alq.;IRPF;Bases Exentas;Bases Con IVA;IVA total;% Ret.;Ret. Alq.;IRPF;Total;Estado;Contabilizada;Recurrente
COM/26-000146;F26002511;28/02/2026;28/02/2026;16:46;FERRETERIA UBETENSE SL;No;No;0,00;9.995,45;2.099,04;0,00;0,00;0,00;12.094,49;Sin conformar;Si;No
COM/26-000145;VFR26-030212;04/03/2026;04/03/2026;16:41;BETSOLAR;No;No;0,00;474,20;99,58;0,00;0,00;0,00;573,78;Sin conformar;Si;No
COM/26-000144;2026107203;28/02/2026;28/02/2026;16:35;EL BOTIJO AGUA DE ANDALUCIA SL;No;No;0,00;6,72;0,67;0,00;0,00;0,00;7,39;Sin conformar;Si;No
COM/26-000143;RGI-0112-26;28/02/2026;28/02/2026;16:32;RAQUEL CRUZ GUTIÉRREZ;No;No;0,00;64,28;13,50;0,00;0,00;0,00;77,78;Sin conformar;Si;No
COM/26-000142;FRO020260252300;11/02/2026;11/02/2026;16:24;SDAD. ESTATAL CORREOS Y TELEGRAFOS SA;No;No;0,00;75,89;15,94;0,00;0,00;0,00;91,83;Sin conformar;Si;No
COM/26-000141;1/751;27/02/2026;27/02/2026;16:15;INVERSOLAR EXTREMADURA SL;No;No;0,00;14.085,44;2.957,94;0,00;0,00;0,00;17.043,38;Sin conformar;Si;No
COM/26-000140;1/777;27/02/2026;27/02/2026;16:10;INVERSOLAR EXTREMADURA SL;No;No;0,00;2.571,38;539,99;0,00;0,00;0,00;3.111,37;Sin conformar;Si;No
COM/26-000139;265000053440;28/02/2026;28/02/2026;16:05;GLOBAL OIL PETROLIUM SL (GRUPO PETROPRIX);No;No;0,00;2.243,07;471,04;0,00;0,00;0,00;2.714,11;Sin conformar;Si;No
COM/26-000138;3626;01/03/2026;01/03/2026;16:00;WIXAIR INTERNET, S.L.U.;No;No;0,00;45,45;9,54;0,00;0,00;0,00;54,99;Sin conformar;Si;No
COM/26-000137;9828787;28/02/2026;28/02/2026;13:09;SALVADOR ESCODA SA;No;No;0,00;154,20;32,38;0,00;0,00;0,00;186,58;Sin conformar;Si;No
COM/26-000136;AM/2602089;27/02/2026;27/02/2026;16:21;JAEN CLIMA SL;No;No;0,00;1.443,44;303,12;0,00;0,00;0,00;1.746,56;Sin conformar;Si;No
COM/26-000135;4736464507;28/02/2026;28/03/2026;16:10;WÜRTH ESPAÑA SA;No;No;0,00;172,90;36,31;0,00;0,00;0,00;209,21;Sin conformar;Si;No
COM/26-000134;4613626897;28/02/2026;28/02/2026;15:41;RECA HISPANA SAU;No;No;0,00;942,86;198,00;0,00;0,00;0,00;1.140,86;Sin conformar;Si;No
