factura_numero,ref,descripcion,cantidad,precio,descuento,importe
59,20889,ESTUFA DE PASILLO CANALIZABLE NETFLAME 10 KW BLANCA,1.0,990.0,0.0,990.0
27,REF_AUTO_2F43B4,AEROTERMIA HI-WATER R290 AH-200U4GAB00 HISENSE,1.0,974.46,0.0,974.46
29,602,COMPRA FERRETERIA MES FEBRERO,1.0,899.77,0.0,899.77
60,AIKO610,MODULO FV AIKO 610WP COMET 1N GEN SF 144 CELULAS MC4,12.0,70.15,0.0,841.8000000000001
22,GR-SPE 10000ES,INVERSOR HÍBRIDO MONOFÁSICO GROWATT SPE 10000ES 10.000W BATERÍAS DE BAJP VOLTAJE Y BACKUP INCORPORADO,1.0,835.0,0.0,835.0
9,SPE 10KT,INVERSOR GROWATT SPE 10000 ES,1.0,835.0,0.0,835.0
32,REF_AUTO_2F43B4,BOMBA DE CALOR NUOS EVO A+ 150 INSTLACIÓNVERTICAL/MURAL -5/42ºC A+/L,1.0,770.0,0.0,770.0
12,68865/1,IAC CONTROL UNIT,4.0,320.0,40.0,768.0
46,SMART METTER MON.SING.PHASE,ALMACÉN,10.0,76.0,0.0,760.0
28,7808438,CALD CUBIC CONDENS 24/24F,1.0,640.0,0.0,640.0
19,ATS INVERSORES,ELEMENTO ATS INVERSORES GROWATT DE BATERÍAS 230VAC 63A,8.0,68.6,0.0,548.8
27,REF_AUTO_2F43B4,DESCALCIFICADOR ESSENTIAL 11 LTS 902801,1.0,544.98,0.0,544.98
68,144662,DESCALCIFICADOR ESSENTIAL 11 LTS 902801,1.0,544.98,0.0,544.98
68,144662,ANASTASIO,1.0,544.98,0.0,544.98
69,144662,DESCALCIFICADOR ESSENTIAL 11 LTS 902801,1.0,544.98,0.0,544.98
69,144662,ANASTASIO,1.0,544.98,0.0,544.98
41,T.ABIERTO 30,TRIANGULO ABIERTO INCLINACIÓN 30º,30.0,17.91,0.0,537.3
Líneas de factura de compra,COPM8CE,FRANCISCO PORCUNA,2.0,532.91,50.0,532.91
9,GR-MIN 6000TL-XH,INVERSOR DE CONEXION A RED MONOFASICO GROWATT MIN 6000TL-XH 6000W AC SPS CON OPCION A BATERIAS,1.0,505.0,0.0,505.0
68,190363,SPLIT DE PARED SU12H6 SUNECO,2.0,245.0,0.0,490.0
69,190363,SPLIT DE PARED SU12H6 SUNECO,2.0,245.0,0.0,490.0
13,SOPORTE METALICA,SOPORTE CUBIERTA METÁLICA,300.0,1.56,0.0,468.0
61,SOPORTE METALICA,ALMACÉN,300.0,1.56,0.0,468.0
68,140927,ANASTASIO (FUENTE TÓJAR),5.0,92.4,0.0,462.0
69,140927,ANASTASIO (FUENTE TÓJAR),5.0,92.4,0.0,462.0
42,T.DOBLE 15,TRIANGULO DOBLE MÓSULOS VERTICAL CON 15º,7.0,63.85,0.0,446.95
77,AIKO610,MODULO FV AIKO 610WP COMET 1N GEN SF 144 CELULAS MC4,6.0,73.2,0.0,439.2000000000001
75,PIR20451154,PRYSOLAR E-SENS H1ZZZZ-K 1X6 BK 1.5KV,510.0,0.819,0.0,417.69
75,PIR20451155,PRYSOLAR E-SENS H1ZZZ-K 1X6 RD. 1.5KV (ROLLO4626340) (PIR821AFCH),510.0,0.819,0.0,417.69
50,$0956M2,"NICOLÁS CONSTRUCTOR - CALLE PERPETUO SOCORRO, 28",31.68,25.62,50.0,405.8208
9,SPF6000-ES-PLUS,INVERSOR/CARGADOR/REGULADOR GROWATT SPF 48VCC 6000 W Y REGULADOR 500 VCC 2 MPPTS Y INCORPORA WIFI,1.0,403.529,0.0,403.529
27,187102,Mª JOSÉ (GRANADA),1.0,672.0,40.0,403.2
27,187102,ACUMULADOR INERCIA 100 INOX 2052370 DEL PASO,1.0,672.0,40.0,403.2
58,CARG.GROWATT.22,"CARGADOR COCHE GROWATT 22KW THOT 22AS-P /WIFI, RFID)",1.0,400.0,0.0,400.0
68,140953,RADIADOR EUROPA E800 DE 12 ELEMENTOS FERROLI,3.0,133.31,0.0,399.93
69,140953,RADIADOR EUROPA E800 DE 12 ELEMENTOS FERROLI,3.0,133.31,0.0,399.93
